,Botnet,SourceIp,SourcePort,SourceIpAsnNr,TargetIp,TargetPort,SourceIpRegion,SourceIpCity,SourceIpLatitude,SourceIpLongitude,Threat.Confidence,Threat_Classify,Host Address,Prediction
62,B106-CB,202.185.114.222,11848,AS132688,204.95.99.31,6915,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
63,B106-MULTI,60.54.58.66,56292,AS4788,204.95.99.109,88,4,Melaka,2.196,102.2405,High,1,109,1.0
64,B106-Malagent,103.227.140.36,54922,AS132435,204.95.99.100,4040,12,Kajang,2.9927,101.7909,Low,0,100,0.0
65,B106-MULTI,60.50.78.203,59089,AS4788,204.95.99.109,81,13,Kuala Terengganu,5.3302,103.1408,High,1,109,1.0
66,B106-MULTI,210.195.214.111,55618,AS4788,204.95.99.109,102,12,Shah Alam,3.0833,101.5333,High,1,109,1.0
67,B106-CB,112.137.166.36,18985,AS17971,204.95.99.31,288,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
68,B106-Ceatrg,175.139.119.223,58009,AS4788,204.95.99.32,3175,14,Kuala Lumpur,3.1667,101.7,Low,0,32,1.0
69,B106-MULTI,183.171.160.100,6248,AS10030,204.95.99.109,88,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
70,B106-CB,121.122.166.19,25924,AS9534,204.95.99.31,288,12,Puchong,3.0167,101.6167,High,1,31,1.0
71,B106-CB,180.74.23.193,49337,AS38322,204.95.99.31,288,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
72,B106-Jenxcus,183.171.167.26,22878,AS10030,204.95.99.86,1644,NA,,2.5,112.5,High,1,86,1.0
73,B106-CB,203.106.158.244,18235,AS4788,204.95.99.31,1920,4,Melaka,2.196,102.2405,High,1,31,1.0
74,B106-MULTI,61.4.124.34,49438,AS24321,204.95.99.109,333,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
75,B106-MULTI,60.52.47.149,53188,AS4788,204.95.99.109,1177,1,Johor Bahru,1.4655,103.7578,High,1,109,1.0
76,B106-CB,175.140.115.244,64912,AS4788,204.95.99.31,105,4,Melaka,2.196,102.2405,High,1,31,1.0
77,B93-CONFIG,60.49.22.121,36886,AS4788,204.95.99.205,443,9,Penang,5.4112,100.3354,,0,205,0.0
78,B106-MULTI,175.145.123.193,61038,AS4788,204.95.99.109,1888,12,Shah Alam,3.0833,101.5333,High,1,109,1.0
79,B106-MULTI,202.188.87.126,58133,AS4788,204.95.99.109,7777,14,Kuala Lumpur,3.1667,101.7,High,1,109,0.0
80,B106-MULTI,113.210.129.238,16112,AS9534,204.95.99.109,1122,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
81,B106-Jenxcus,183.171.164.234,20295,AS10030,204.95.99.86,1644,14,Kuala Lumpur,3.1667,101.7,High,1,86,1.0
82,B106-Bladabindi,118.100.232.35,42246,AS4788,204.95.99.26,1188,14,Kuala Lumpur,3.1667,101.7,High,1,26,1.0
83,B106-CB,113.210.7.204,36438,AS9534,204.95.99.31,1183,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
84,B106-MULTI,120.141.179.71,59159,AS38322,204.95.99.109,333,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
85,B106-MULTI,112.137.166.36,31496,AS17971,204.95.99.109,2211,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
86,B106-Jenxcus,175.137.147.249,17969,AS4788,204.95.99.86,991,7,Pusing,4.4941,101.0079,High,1,86,1.0
87,B106-Jenxcus,60.48.88.25,65463,AS4788,204.95.99.86,991,7,Ipoh,4.5841,101.0829,High,1,86,1.0
88,B106-Jenxcus,175.138.147.197,57370,AS4788,204.95.99.86,991,NA,,2.5,112.5,High,1,86,1.0
89,B106-Jenxcus,175.138.81.201,64403,AS4788,204.95.99.86,991,12,Salak Selatan,3.1,101.7,High,1,86,1.0
90,B106-MULTI,113.210.130.119,29759,AS9534,204.95.99.109,88,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
91,B106-MULTI,175.140.29.167,59107,AS4788,204.95.99.109,7777,2,Gurun,5.8172,100.4738,High,1,109,0.0
92,B106-MULTI,115.132.48.3,62116,AS4788,204.95.99.109,1604,7,Ipoh,4.5841,101.0829,High,1,109,1.0
93,B106-Jenxcus,60.48.177.230,52611,AS4788,204.95.99.86,1644,2,Sungai Petani,5.647,100.4877,High,1,86,1.0
94,B106-CB,175.144.116.77,57078,AS4788,204.95.99.31,288,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
95,B106-Fynloski,211.25.233.186,38998,AS9930,204.95.99.66,1337,14,Kuala Lumpur,3.1667,101.7,Low,0,66,1.0
96,B106-MULTI,180.74.64.58,65207,AS38322,204.95.99.109,333,NA,,2.5,112.5,High,1,109,1.0
97,B106-MULTI,14.1.210.17,55723,AS45960,204.95.99.109,95,12,Kajang,2.9927,101.7909,High,1,109,1.0
98,B106-MULTI,60.49.90.143,23497,AS4788,204.95.99.109,102,1,Johor Bahru,1.4655,103.7578,High,1,109,1.0
99,B106-Jenxcus,175.137.3.7,58644,AS4788,204.95.99.86,1644,12,Puchong,3.0167,101.6167,High,1,86,1.0
100,B106-MULTI,124.82.57.6,53323,AS4788,204.95.99.109,7777,7,Ipoh,4.5841,101.0829,High,1,109,0.0
101,B106-Jenxcus,110.159.96.112,62675,AS4788,204.95.99.86,4442,14,Kuala Lumpur,3.1667,101.7,High,1,86,1.0
102,B106-CB,1.9.102.27,9752,AS4788,204.95.99.31,1920,4,Melaka,2.196,102.2405,High,1,31,1.0
103,B106-MULTI,60.52.70.105,56241,AS4788,204.95.99.109,333,1,Johor Bahru,1.4655,103.7578,High,1,109,1.0
104,B106-Jenxcus,112.137.166.39,53080,AS17971,204.95.99.86,1644,14,Kuala Lumpur,3.1667,101.7,High,1,86,1.0
105,B106-Poison,120.140.110.204,2572,AS38322,204.95.99.130,1408,12,Klang,3.0333,101.45,Low,0,130,1.0
106,B106-MULTI,60.53.248.166,51767,AS4788,204.95.99.109,102,12,Batu Caves,3.2333,101.6667,High,1,109,1.0
107,B106-Poison,120.140.110.204,2571,AS38322,204.95.99.130,5552,12,Klang,3.0333,101.45,Low,0,130,0.0
108,B106-CB,203.106.149.10,8019,AS4788,204.95.99.31,105,9,Penang,5.4112,100.3354,High,1,31,1.0
109,B106-MULTI,14.192.214.128,1683,AS9534,204.95.99.109,2233,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
110,B106-CB,203.106.136.3,50391,AS4788,204.95.99.31,288,12,Puchong,3.0167,101.6167,High,1,31,1.0
111,B106-CB,113.210.132.62,43417,AS9534,204.95.99.31,105,12,Petaling Jaya,3.0833,101.65,High,1,31,1.0
112,B106-MULTI,124.13.54.232,52281,AS4788,204.95.99.109,88,12,Petaling Jaya,3.0833,101.65,High,1,109,1.0
113,B106-MULTI,60.54.175.222,52622,AS4788,204.95.99.109,88,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
114,B106-MULTI,175.138.129.16,53348,AS4788,204.95.99.109,88,1,Johor Bahru,1.4655,103.7578,High,1,109,1.0
115,B106-MULTI,175.140.20.229,2947,AS4788,204.95.99.109,258,12,Klang,3.0333,101.45,High,1,109,1.0
116,B106-Jenxcus,60.51.8.40,63515,AS4788,204.95.99.86,1644,7,Ipoh,4.5841,101.0829,High,1,86,1.0
117,B106-MULTI,203.106.151.235,1607,AS4788,204.95.99.109,88,9,Penang,5.4112,100.3354,High,1,109,1.0
118,B106-MULTI,210.186.54.90,4517,AS4788,204.95.99.109,95,3,Kota Bharu,6.1333,102.2386,High,1,109,1.0
119,B106-MULTI,180.74.208.192,49974,AS38322,204.95.99.109,7777,12,Seri Kembangan,3.0333,101.7167,High,1,109,0.0
120,B106-MULTI,113.210.10.153,60999,AS9534,204.95.99.109,82,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
121,B106-MULTI,175.145.97.184,1057,AS4788,204.95.99.109,95,1,Johor Bahru,1.4655,103.7578,High,1,109,1.0
122,B106-MULTI,203.121.53.35,60973,AS9930,204.95.99.109,333,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
123,B106-MULTI,175.141.12.173,21293,AS4788,204.95.99.109,88,9,Penang,5.4112,100.3354,High,1,109,1.0
124,B106-Malagent,103.227.140.22,56370,AS132435,204.95.99.100,4040,12,Kajang,2.9927,101.7909,Low,0,100,0.0
125,B106-Xtrat,180.73.135.138,51233,AS38322,204.95.99.193,999,1,Johor Bahru,1.4655,103.7578,Low,0,193,0.0
126,B106-MULTI,175.144.17.248,58215,AS4788,204.95.99.109,3360,7,Tanjung Tualang,4.3167,101.0667,High,1,109,0.0
127,B106-Bladabindi,175.139.64.254,50157,AS4788,204.95.99.26,14725,14,Kuala Lumpur,3.1667,101.7,High,1,26,0.0
128,B106-Bladabindi,175.138.96.116,50270,AS4788,204.95.99.26,1168,9,Bayan Lepas,5.2999,100.2605,High,1,26,1.0
129,B106-MULTI,203.158.27.34,58959,AS45960,204.95.99.109,1122,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
130,B106-CB,115.133.17.176,58902,AS4788,204.95.99.31,1920,1,Ulu Tiram,1.5999,103.8214,High,1,31,1.0
131,B106-Poison,210.195.214.111,55619,AS4788,204.95.99.130,1881,12,Shah Alam,3.0833,101.5333,Low,0,130,0.0
132,B106-MULTI,1.9.106.5,12701,AS4788,204.95.99.109,333,11,Kuching,1.55,110.3333,High,1,109,1.0
133,B106-MULTI,180.74.240.135,52942,AS38322,204.95.99.109,81,5,Seremban,2.7297,101.9381,High,1,109,1.0
134,B106-MULTI,1.9.103.196,14687,AS4788,204.95.99.109,2233,4,Melaka,2.196,102.2405,High,1,109,1.0
135,B106-MULTI,1.9.63.62,31542,AS4788,204.95.99.109,88,12,Puchong,3.0167,101.6167,High,1,109,1.0
136,B106-MULTI,1.9.186.158,51311,AS4788,204.95.99.109,88,2,Sungai Petani,5.647,100.4877,High,1,109,1.0
137,B106-Jenxcus,210.19.38.1,34948,AS9930,204.95.99.86,85,9,Penang,5.4112,100.3354,High,1,86,1.0
138,B106-MULTI,112.137.166.41,47856,AS17971,204.95.99.109,2233,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
139,B106-CB,58.26.88.78,2089,AS4788,204.95.99.31,288,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
140,B106-MULTI,203.217.176.55,58638,AS17564,204.95.99.109,1249,17,Putrajaya,2.9431,101.6994,High,1,109,1.0
141,B106-CB,175.139.236.94,62495,AS4788,204.95.99.31,288,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
142,B106-MULTI,115.133.116.226,2027,AS4788,204.95.99.109,86,1,Johor Bahru,1.4655,103.7578,High,1,109,1.0
143,B106-MULTI,118.100.232.108,8414,AS4788,204.95.99.109,7777,14,Kuala Lumpur,3.1667,101.7,High,1,109,0.0
144,B106-MULTI,1.9.96.110,5081,AS4788,204.95.99.109,88,3,Kota Bharu,6.1333,102.2386,High,1,109,1.0
145,B106-Jenxcus,112.137.166.42,24882,AS17971,204.95.99.86,2164,14,Kuala Lumpur,3.1667,101.7,High,1,86,1.0
146,B106-Jenxcus,61.6.56.17,56849,AS2042,204.95.99.86,1644,14,Kuala Lumpur,3.1667,101.7,High,1,86,1.0
147,B106-MULTI,119.40.112.64,35964,AS38868,204.95.99.109,1122,12,Selangor,3.35,101.25,High,1,109,1.0
148,B106-MULTI,202.170.60.252,62922,AS24090,204.95.99.109,88,9,Penang,5.4112,100.3354,High,1,109,1.0
149,B106-MULTI,115.134.227.103,60943,AS4788,204.95.99.109,333,16,Kota Kinabalu,5.9749,116.0724,High,1,109,1.0
150,B106-Jenxcus,218.111.88.193,26403,AS4788,204.95.99.86,991,6,Kuantan,3.8077,103.326,High,1,86,1.0
151,B106-MULTI,175.137.37.57,56969,AS4788,204.95.99.109,333,16,Kota Kinabalu,5.9749,116.0724,High,1,109,1.0
152,B106-MULTI,113.210.3.101,12959,AS9534,204.95.99.109,333,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
153,B106-CB,113.210.11.234,14207,AS9534,204.95.99.31,288,12,Kajang,2.9927,101.7909,High,1,31,1.0
154,B106-Jenxcus,113.210.138.92,33431,AS9534,204.95.99.86,2164,12,Petaling Jaya,3.0833,101.65,High,1,86,1.0
155,B106-CB,120.140.84.186,54088,AS38322,204.95.99.31,105,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
156,B106-MULTI,118.101.200.109,22532,AS4788,204.95.99.109,88,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
157,B106-MULTI,210.186.150.18,19753,AS4788,204.95.99.109,2233,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
158,B106-CB,183.171.162.155,8256,AS10030,204.95.99.31,83,NA,,2.5,112.5,High,1,31,1.0
159,B106-Bladabindi,112.137.166.38,29337,AS17971,204.95.99.26,1199,14,Kuala Lumpur,3.1667,101.7,High,1,26,1.0
160,B106-MULTI,124.13.70.51,52840,AS4788,204.95.99.109,1604,3,Kota Bharu,6.1333,102.2386,High,1,109,1.0
161,B106-Bladabindi,1.9.103.40,16633,AS4788,204.95.99.26,99,4,Melaka,2.196,102.2405,High,1,26,1.0
162,B106-MULTI,103.244.49.71,22700,AS132514,204.95.99.109,88,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
163,B106-Poison,175.139.64.254,50158,AS4788,204.95.99.130,1408,14,Kuala Lumpur,3.1667,101.7,Low,0,130,1.0
164,B106-CB,180.75.71.81,51809,AS38322,204.95.99.31,2288,7,Kampar,4.3,101.15,High,1,31,1.0
165,B106-MULTI,203.217.176.55,58641,AS17564,204.95.99.109,7777,17,Putrajaya,2.9431,101.6994,High,1,109,0.0
166,B106-MULTI,175.144.109.11,52494,AS4788,204.95.99.109,246,7,Ipoh,4.5841,101.0829,High,1,109,1.0
167,B106-CB,1.9.103.178,1365,AS4788,204.95.99.31,288,4,Melaka,2.196,102.2405,High,1,31,1.0
168,B106-CB,113.210.131.157,45851,AS9534,204.95.99.31,2288,12,Shah Alam,3.0833,101.5333,High,1,31,1.0
169,B106-CB,14.192.210.185,2856,AS9534,204.95.99.31,1920,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
170,B106-MULTI,1.9.99.181,9476,AS4788,204.95.99.109,1998,6,Kuantan,3.8077,103.326,High,1,109,1.0
171,B106-MULTI,113.210.8.26,14122,AS9534,204.95.99.109,88,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
172,B106-Malagent,219.92.235.57,42809,AS4788,204.95.99.100,4040,12,Kajang,2.9927,101.7909,Low,0,100,0.0
173,B106-Bladabindi,175.137.208.207,50562,AS4788,204.95.99.26,99,7,Ipoh,4.5841,101.0829,High,1,26,1.0
174,B106-Bladabindi,118.101.164.146,54789,AS4788,204.95.99.26,107,1,Skudai,1.5333,103.6667,High,1,26,1.0
175,B106-Bladabindi,175.145.41.229,1441,AS4788,204.95.99.26,99,12,Puchong,3.0167,101.6167,High,1,26,1.0
176,B106-CB,175.142.109.125,52013,AS4788,204.95.99.31,288,1,Kulai,1.6561,103.6032,High,1,31,1.0
177,B106-MULTI,202.188.84.116,51185,AS4788,204.95.99.109,8899,12,Shah Alam,3.0833,101.5333,High,1,109,0.0
178,B106-Jenxcus,203.106.159.170,7800,AS4788,204.95.99.86,999,4,Melaka,2.196,102.2405,High,1,86,1.0
179,B106-MULTI,113.23.138.145,55707,AS38182,204.95.99.109,95,1,Segamat,2.5148,102.8158,High,1,109,1.0
180,B106-MULTI,113.210.8.64,64468,AS9534,204.95.99.109,95,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
181,B106-Bladabindi,175.142.114.95,53573,AS4788,204.95.99.26,5555,9,Penang,5.4112,100.3354,High,1,26,1.0
182,B106-MULTI,219.92.249.167,56160,AS4788,204.95.99.109,102,1,Johor Bahru,1.4655,103.7578,High,1,109,1.0
183,B106-MULTI,175.136.207.44,58191,AS4788,204.95.99.109,1888,12,Seri Kembangan,3.0333,101.7167,High,1,109,1.0
184,B106-CB,210.195.121.234,61848,AS4788,204.95.99.31,1888,12,Petaling Jaya,3.0833,101.65,High,1,31,1.0
185,B106-CB,60.50.240.82,23061,AS4788,204.95.99.31,288,6,Kuantan,3.8077,103.326,High,1,31,1.0
186,B106-MULTI,203.106.159.83,16538,AS4788,204.95.99.109,81,5,Seremban,2.7297,101.9381,High,1,109,1.0
187,B106-MULTI,119.40.112.36,21356,AS38868,204.95.99.109,1122,12,Selangor,3.35,101.25,High,1,109,1.0
188,B106-MULTI,203.106.152.138,8116,AS4788,204.95.99.109,88,7,Ipoh,4.5841,101.0829,High,1,109,1.0
189,B106-MULTI,113.210.129.153,39636,AS9534,204.95.99.109,88,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
190,B106-MULTI,112.137.166.36,2446,AS17971,204.95.99.109,2233,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
191,B106-MULTI,110.159.36.76,1994,AS4788,204.95.99.109,7777,5,Bahau,2.8079,102.4049,High,1,109,0.0
192,B106-Jenxcus,149.129.30.95,52023,AS9930,204.95.99.86,1176,NA,,2.5,112.5,High,1,86,1.0
193,B106-MULTI,175.143.89.96,52315,AS4788,204.95.99.109,85,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
194,B106-MULTI,101.109.247.70,55433,AS23969,204.95.99.109,1337,1,Johor Bahru,1.4655,103.7578,High,1,109,1.0
195,B106-MULTI,210.186.251.55,65319,AS4788,204.95.99.109,102,12,Puchong,3.0167,101.6167,High,1,109,1.0
196,B106-CB,202.75.4.127,51425,AS17564,204.95.99.31,1920,17,Putrajaya,2.9431,101.6994,High,1,31,1.0
197,B106-Jenxcus,60.54.84.245,12460,AS4788,204.95.99.86,991,4,Melaka,2.196,102.2405,High,1,86,1.0
198,B106-MULTI,112.137.166.41,24356,AS17971,204.95.99.109,88,14,Kuala Lumpur,3.1667,101.7,High,1,109,1.0
199,B106-MULTI,210.186.59.112,3785,AS4788,204.95.99.109,333,11,Kuching,1.55,110.3333,High,1,109,1.0
200,B106-MULTI,175.138.131.134,58600,AS4788,204.95.99.109,1122,1,Johor Bahru,1.4655,103.7578,High,1,109,1.0
201,B106-Jenxcus,202.188.143.210,64757,AS4788,204.95.99.86,1888,12,Seri Kembangan,3.0333,101.7167,High,1,86,1.0
202,B106-Bladabindi,175.145.232.178,24107,AS4788,204.95.99.26,1177,9,Penang,5.4112,100.3354,High,1,26,1.0
203,B106-MULTI,1.9.36.148,54038,AS4788,204.95.99.109,81,12,Petaling,3.0833,101.6667,High,1,109,1.0
204,B106-Jenxcus,1.9.206.86,54996,AS4788,204.95.99.86,1873,9,Penang,5.4112,100.3354,High,1,86,1.0
205,B106-CB,175.139.129.81,64147,AS4788,204.95.99.31,288,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
206,B106-Jenxcus,115.134.39.91,50795,AS4788,204.95.99.86,1644,1,Batu Pahat,1.8548,102.9325,High,1,86,1.0
207,B106-MULTI,1.9.99.241,8020,AS4788,204.95.99.109,88,6,Kuantan,3.8077,103.326,High,1,109,1.0
208,B106-CB,120.141.227.235,51460,AS38322,204.95.99.31,288,14,Kuala Lumpur,3.1667,101.7,High,1,31,1.0
209,B106-Jenxcus,203.106.148.53,10794,AS4788,204.95.99.86,1336,9,Penang,5.4112,100.3354,High,1,86,1.0
210,B106-MULTI,124.13.70.51,52841,AS4788,204.95.99.109,1890,3,Kota Bharu,6.1333,102.2386,High,1,109,1.0
211,B106-MULTI,175.142.120.224,10486,AS4788,204.95.99.109,88,9,Bukit Mertajam,5.363,100.4667,High,1,109,1.0
